Date,Actual,Predicted,Model
2024-05-31,0.5655916410294367,0.11102036576361503,Historical Volatility
2024-05-31,0.5655916410294367,0.11960103484201733,GARCH
2024-05-31,0.5655916410294367,0.12432025922813601,Random Forest
2024-05-31,0.5655916410294367,0.12305816262960434,XGBoost
2024-05-31,0.5655916410294367,0.12953722476959229,Hybrid GARCH+ML
2024-06-03,0.5179728667244792,0.15615322190339723,Historical Volatility
2024-06-03,0.5179728667244792,0.12359104043537474,GARCH
2024-06-03,0.5179728667244792,0.11814548319694262,Random Forest
2024-06-03,0.5179728667244792,0.10871697962284088,XGBoost
2024-06-03,0.5179728667244792,0.111918143928051,Hybrid GARCH+ML
2024-06-04,0.2828356957549833,0.2725347351009496,Historical Volatility
2024-06-04,0.2828356957549833,0.12359104043537474,GARCH
2024-06-04,0.2828356957549833,0.2355201215968679,Random Forest
2024-06-04,0.2828356957549833,0.26635754108428955,XGBoost
2024-06-04,0.2828356957549833,0.2762812674045563,Hybrid GARCH+ML
2024-06-05,0.15870265742006656,0.2975706432811714,Historical Volatility
2024-06-05,0.15870265742006656,0.12359104043537474,GARCH
2024-06-05,0.15870265742006656,0.23870307243708513,Random Forest
2024-06-05,0.15870265742006656,0.2565240263938904,XGBoost
2024-06-05,0.15870265742006656,0.2559121549129486,Hybrid GARCH+ML
2024-06-06,0.14755646726395188,0.29894614569445366,Historical Volatility
2024-06-06,0.14755646726395188,0.12359104043537474,GARCH
2024-06-06,0.14755646726395188,0.23089346540475603,Random Forest
2024-06-06,0.14755646726395188,0.22315247356891632,XGBoost
2024-06-06,0.14755646726395188,0.22322139143943787,Hybrid GARCH+ML
2024-06-07,0.03669808952909717,0.29946026360943173,Historical Volatility
2024-06-07,0.03669808952909717,0.12359104043537474,GARCH
2024-06-07,0.03669808952909717,0.1886644420708154,Random Forest
2024-06-07,0.03669808952909717,0.1748216301202774,XGBoost
2024-06-07,0.03669808952909717,0.17686817049980164,Hybrid GARCH+ML
2024-06-10,0.04510382896503,0.2997787297175803,Historical Volatility
2024-06-10,0.04510382896503,0.12359104043537474,GARCH
2024-06-10,0.04510382896503,0.1830069191058319,Random Forest
2024-06-10,0.04510382896503,0.19316072762012482,XGBoost
2024-06-10,0.04510382896503,0.18118418753147125,Hybrid GARCH+ML
2024-06-11,0.04680923390500613,0.29989901975112987,Historical Volatility
2024-06-11,0.04680923390500613,0.12359104043537474,GARCH
2024-06-11,0.04680923390500613,0.1794440552567624,Random Forest
2024-06-11,0.04680923390500613,0.1848118007183075,XGBoost
2024-06-11,0.04680923390500613,0.17772677540779114,Hybrid GARCH+ML
2024-06-12,0.04597938064940863,0.2997446293214438,Historical Volatility
2024-06-12,0.04597938064940863,0.12359104043537474,GARCH
2024-06-12,0.04597938064940863,0.175999695070848,Random Forest
2024-06-12,0.04597938064940863,0.17326806485652924,XGBoost
2024-06-12,0.04597938064940863,0.16835583746433258,Hybrid GARCH+ML
2024-06-13,0.044458458616272775,0.2995141996587889,Historical Volatility
2024-06-13,0.044458458616272775,0.12359104043537474,GARCH
2024-06-13,0.044458458616272775,0.18936856920971615,Random Forest
2024-06-13,0.044458458616272775,0.18998965620994568,XGBoost
2024-06-13,0.044458458616272775,0.17851980030536652,Hybrid GARCH+ML
2024-06-14,0.04112475669767616,0.298538395542533,Historical Volatility
2024-06-14,0.04112475669767616,0.12359104043537474,GARCH
2024-06-14,0.04112475669767616,0.1870581307547121,Random Forest
2024-06-14,0.04112475669767616,0.18736034631729126,XGBoost
2024-06-14,0.04112475669767616,0.18269303441047668,Hybrid GARCH+ML
2024-06-18,0.0628676815623021,0.2985898508378072,Historical Volatility
2024-06-18,0.0628676815623021,0.12359104043537474,GARCH
2024-06-18,0.0628676815623021,0.1819782950577299,Random Forest
2024-06-18,0.0628676815623021,0.20054717361927032,XGBoost
2024-06-18,0.0628676815623021,0.1886102259159088,Hybrid GARCH+ML
2024-06-19,0.07569175167106423,0.29894537989362835,Historical Volatility
2024-06-19,0.07569175167106423,0.12359104043537474,GARCH
2024-06-19,0.07569175167106423,0.18353328977156647,Random Forest
2024-06-19,0.07569175167106423,0.19207890331745148,XGBoost
2024-06-19,0.07569175167106423,0.1828155815601349,Hybrid GARCH+ML
2024-06-20,0.09057402833615098,0.298926434225827,Historical Volatility
2024-06-20,0.09057402833615098,0.12359104043537474,GARCH
2024-06-20,0.09057402833615098,0.18282279810372232,Random Forest
2024-06-20,0.09057402833615098,0.1832299530506134,XGBoost
2024-06-20,0.09057402833615098,0.17722578346729279,Hybrid GARCH+ML
2024-06-21,0.0889313514557489,0.294593726556374,Historical Volatility
2024-06-21,0.0889313514557489,0.12359104043537474,GARCH
2024-06-21,0.0889313514557489,0.1846346294646902,Random Forest
2024-06-21,0.0889313514557489,0.18747717142105103,XGBoost
2024-06-21,0.0889313514557489,0.19551056623458862,Hybrid GARCH+ML
2024-06-24,0.09636287369085485,0.29453481668785103,Historical Volatility
2024-06-24,0.09636287369085485,0.12359104043537474,GARCH
2024-06-24,0.09636287369085485,0.18728334192551283,Random Forest
2024-06-24,0.09636287369085485,0.19998402893543243,XGBoost
2024-06-24,0.09636287369085485,0.19220760464668274,Hybrid GARCH+ML
2024-06-25,0.0792232234374864,0.29527992837298084,Historical Volatility
2024-06-25,0.0792232234374864,0.12359104043537474,GARCH
2024-06-25,0.0792232234374864,0.17583014795321086,Random Forest
2024-06-25,0.0792232234374864,0.1696181744337082,XGBoost
2024-06-25,0.0792232234374864,0.17026816308498383,Hybrid GARCH+ML
2024-06-26,0.08133551778311326,0.295366951849389,Historical Volatility
2024-06-26,0.08133551778311326,0.12359104043537474,GARCH
2024-06-26,0.08133551778311326,0.17910157928825193,Random Forest
2024-06-26,0.08133551778311326,0.19429384171962738,XGBoost
2024-06-26,0.08133551778311326,0.17351897060871124,Hybrid GARCH+ML
2024-06-27,0.06265324928188606,0.2933996368443204,Historical Volatility
2024-06-27,0.06265324928188606,0.12359104043537474,GARCH
2024-06-27,0.06265324928188606,0.18250488919371516,Random Forest
2024-06-27,0.06265324928188606,0.18366903066635132,XGBoost
2024-06-27,0.06265324928188606,0.1741771399974823,Hybrid GARCH+ML
2024-06-28,0.06217111734258892,0.29023001310066066,Historical Volatility
2024-06-28,0.06217111734258892,0.12359104043537474,GARCH
2024-06-28,0.06217111734258892,0.16888283495395207,Random Forest
2024-06-28,0.06217111734258892,0.18200474977493286,XGBoost
2024-06-28,0.06217111734258892,0.17796173691749573,Hybrid GARCH+ML
2024-07-01,0.048642619095923136,0.29027884611141436,Historical Volatility
2024-07-01,0.048642619095923136,0.12359104043537474,GARCH
2024-07-01,0.048642619095923136,0.1744433309161745,Random Forest
2024-07-01,0.048642619095923136,0.15540240705013275,XGBoost
2024-07-01,0.048642619095923136,0.1624956876039505,Hybrid GARCH+ML
2024-08-02,0.23178953198205304,0.27430848788384254,Historical Volatility
2024-08-02,0.23178953198205304,0.16566702035496705,GARCH
2024-08-02,0.23178953198205304,0.1119063729902316,Random Forest
2024-08-02,0.23178953198205304,0.11208992451429367,XGBoost
2024-08-02,0.23178953198205304,0.12148400396108627,Hybrid GARCH+ML
2024-08-05,0.12886549670538527,0.1832109396909914,Historical Volatility
2024-08-05,0.12886549670538527,0.16566702035496705,GARCH
2024-08-05,0.12886549670538527,0.14325933464137405,Random Forest
2024-08-05,0.12886549670538527,0.14440415799617767,XGBoost
